"","File.Name","driver_nd","driver_ps","driver_ep","driver_gf","driver_ib"
"1","10.1002_ece3.3699.pdf",NA,"anthropogenic",NA,NA,NA
"2","10.1002_evl3.143.pdf","experimental",NA,NA,NA,NA
"3","10.1002_evl3.269.pdf","anthropogenic",NA,NA,NA,NA
"4","10.1016_j.cell.2019.03.049.pdf","anthropogenic",NA,NA,"anthropogenic","anthropogenic"
"5","10.1016_j.cub.2015.08.032.pdf",NA,NA,"anthropogenic","anthropogenic","anthropogenic"
"6","10.1016_j.jfma.2018.01.019.pdf",NA,NA,"host-pathogen",NA,NA
"7","10.1016_j.meegid.2019.03.016.pdf",NA,NA,"host-pathogen",NA,NA
"8","10.1016_j.meegid.2021.105184.pdf","host-pathogen",NA,NA,NA,NA
"9","10.1038_s41437-019-0264-5.pdf","anthropogenic","natural",NA,NA,NA
"10","10.1038_s41467-021-21281-6.pdf",NA,"experimental","experimental",NA,NA
"11","10.1038_s41477-019-0437-5.pdf",NA,NA,NA,"anthropogenic",NA
"12","10.1038_s41558-023-01696-3.pdf",NA,"anthropogenic","anthropogenic","anthropogenic","anthropogenic"
"13","10.1038_s41559-019-0921-3.pdf",NA,NA,NA,"anthropogenic",NA
"14","10.1038_s41559-022-01665-7.pdf",NA,"anthropogenic",NA,NA,NA
"15","10.1038_s41559-022-01816-w.pdf","experimental",NA,NA,NA,NA
"16","10.1038_s41559-023-02185-8.pdf",NA,NA,"natural","natural",NA
"17","10.1038_s41586-021-03224-9.pdf",NA,NA,NA,"natural",NA
"18","10.1038_s41586-022-04824-9.pdf",NA,"natural",NA,"anthropogenic",NA
"19","10.1073_pnas.1620410114.pdf",NA,NA,NA,"natural",NA
"20","10.1093_gbe_evaa188.pdf","anthropogenic","anthropogenic",NA,NA,NA
"21","10.1093_gbe_evad113.pdf","experimental",NA,NA,NA,NA
"22","10.1093_gbe_evae114.pdf","anthropogenic",NA,NA,NA,NA
"23","10.1093_infdis_jix298.pdf",NA,NA,"host-pathogen",NA,NA
"24","10.1093_jeb_voae068.pdf","anthropogenic","anthropogenic",NA,NA,NA
"25","10.1093_molbev_msab147.pdf",NA,"host-pathogen",NA,NA,NA
"26","10.1093_molbev_msab340.pdf",NA,NA,NA,"natural",NA
"27","10.1093_molbev_msac014.pdf",NA,"anthropogenic",NA,NA,NA
"28","10.1093_molbev_msac179.pdf",NA,"anthropogenic",NA,NA,NA
"29","10.1093_molbev_msac189.pdf","anthropogenic",NA,NA,"natural",NA
"30","10.1093_molbev_msac241.pdf",NA,NA,NA,"anthropogenic",NA
"31","10.1093_molbev_msae108.pdf",NA,NA,NA,"anthropogenic","anthropogenic"
"32","10.1093_molbev_msae128.pdf",NA,"natural",NA,"natural",NA
"33","10.1093_molbev_mst205.pdf",NA,NA,"experimental",NA,NA
"34","10.1093_molbev_msx247.pdf","experimental",NA,NA,NA,NA
"35","10.1093_ve_vex035.pdf",NA,NA,"experimental",NA,NA
"36","10.1098_rspb.2015.0801.pdf","host-pathogen",NA,NA,NA,NA
"37","10.1099_mgen.0.001170.pdf",NA,NA,"host-pathogen",NA,NA
"38","10.1099_mgen.0.001170.pdf",NA,NA,"host-pathogen",NA,NA
"39","10.1111_1755-0998.13167.pdf",NA,"anthropogenic",NA,"anthropogenic","anthropogenic"
"40","10.1111_cobi.13889.pdf",NA,"anthropogenic","anthropogenic","anthropogenic","anthropogenic"
"41","10.1111_eva.12594.pdf","anthropogenic",NA,NA,NA,NA
"42","10.1111_eva.13656.pdf",NA,"anthropogenic","anthropogenic",NA,NA
"43","10.1111_gcb.17126.pdf","anthropogenic","anthropogenic","anthropogenic","anthropogenic",NA
"44","10.1111_jeb.14152.pdf","experimental",NA,NA,NA,NA
"45","10.1111_mec.12260.pdf",NA,"anthropogenic",NA,NA,NA
"46","10.1111_mec.15085.pdf",NA,NA,"experimental",NA,NA
"47","10.1111_mec.15579.pdf",NA,NA,"experimental",NA,NA
"48","10.1111_mec.16111.pdf","natural","natural",NA,"natural",NA
"49","10.1111_mec.16451.pdf","anthropogenic",NA,NA,NA,NA
"50","10.1111_mec.16760.pdf",NA,NA,NA,NA,"anthropogenic"
"51","10.1111_mec.16933.pdf",NA,NA,NA,"anthropogenic",NA
"52","10.1111_mec.17274.pdf","anthropogenic","anthropogenic","anthropogenic","anthropogenic",NA
"53","10.1126_sciadv.aax0530.pdf","host-pathogen",NA,NA,NA,NA
"54","10.1128_JVI.01519-08.pdf",NA,NA,"host-pathogen",NA,NA
"55","10.1128_msystems.01477-21.pdf",NA,"natural",NA,NA,NA
"56","10.1186_s12711-024-00900-y.pdf",NA,"anthropogenic",NA,"anthropogenic","anthropogenic"
"57","10.1186_s12862-022-02083-w.pdf",NA,"anthropogenic",NA,"anthropogenic",NA
"58","10.1371_journal.pbio.3002333.pdf","anthropogenic","anthropogenic","anthropogenic",NA,"anthropogenic"
"59","10.1371_journal.ppat.1008298.pdf",NA,NA,"host-pathogen",NA,NA
"60","10.1371_journal.ppat.1009744.pdf","host-pathogen",NA,NA,NA,NA
