"","increase_decrease_ep","increase_decrease_nd","increase_decrease_ib","increase_decrease_ps","increase_decrease_gf","File.Name"
"1",NA,NA,NA,"no change",NA,"10.1002_ece3.3699.pdf"
"2",NA,"decreased",NA,NA,NA,"10.1002_evl3.143.pdf"
"3",NA,"no change",NA,NA,NA,"10.1002_evl3.269.pdf"
"4",NA,"decreased","increase",NA,"decrease","10.1016_j.cell.2019.03.049.pdf"
"5","decrease",NA,"no change",NA,"decrease","10.1016_j.cub.2015.08.032.pdf"
"6","increase",NA,NA,NA,NA,"10.1016_j.jfma.2018.01.019.pdf"
"7","decrease",NA,NA,NA,NA,"10.1016_j.meegid.2019.03.016.pdf"
"8",NA,"no change",NA,NA,NA,"10.1016_j.meegid.2021.105184.pdf"
"9",NA,"no change",NA,"increase",NA,"10.1038_s41437-019-0264-5.pdf"
"10","decrease",NA,NA,"no change",NA,"10.1038_s41467-021-21281-6.pdf"
"11",NA,NA,NA,NA,"decrease","10.1038_s41477-019-0437-5.pdf"
"12","increase",NA,"decrease","no change","increase","10.1038_s41558-023-01696-3.pdf"
"13",NA,NA,NA,NA,"increase","10.1038_s41559-019-0921-3.pdf"
"14",NA,NA,NA,"decrease",NA,"10.1038_s41559-022-01665-7.pdf"
"15",NA,"decreased",NA,NA,NA,"10.1038_s41559-022-01816-w.pdf"
"16","stable",NA,NA,NA,"increase","10.1038_s41559-023-02185-8.pdf"
"17",NA,NA,NA,NA,"increase","10.1038_s41586-021-03224-9.pdf"
"18",NA,NA,NA,"no change","decrease","10.1038_s41586-022-04824-9.pdf"
"19",NA,NA,NA,NA,"decrease","10.1073_pnas.1620410114.pdf"
"20",NA,"increased",NA,"no change",NA,"10.1093_gbe_evaa188.pdf"
"21",NA,"decreased",NA,NA,NA,"10.1093_gbe_evad113.pdf"
"22",NA,"decreased",NA,NA,NA,"10.1093_gbe_evae114.pdf"
"23","increase",NA,NA,NA,NA,"10.1093_infdis_jix298.pdf"
"24",NA,"varies",NA,"no change",NA,"10.1093_jeb_voae068.pdf"
"25",NA,NA,NA,"no change",NA,"10.1093_molbev_msab147.pdf"
"26",NA,NA,NA,NA,"decrease","10.1093_molbev_msab340.pdf"
"27",NA,NA,NA,"decrease",NA,"10.1093_molbev_msac014.pdf"
"28",NA,NA,NA,"decrease",NA,"10.1093_molbev_msac179.pdf"
"29",NA,"decreased",NA,NA,"decrease","10.1093_molbev_msac189.pdf"
"30",NA,NA,NA,NA,"decrease","10.1093_molbev_msac241.pdf"
"31",NA,NA,"increase",NA,"decrease","10.1093_molbev_msae108.pdf"
"32",NA,NA,NA,"increase","increase","10.1093_molbev_msae128.pdf"
"33","decrease",NA,NA,NA,NA,"10.1093_molbev_mst205.pdf"
"34",NA,"decreased",NA,NA,NA,"10.1093_molbev_msx247.pdf"
"35","increase",NA,NA,NA,NA,"10.1093_ve_vex035.pdf"
"36",NA,"varies",NA,NA,NA,"10.1098_rspb.2015.0801.pdf"
"37","increase",NA,NA,NA,NA,"10.1099_mgen.0.001170.pdf"
"38","increase",NA,NA,NA,NA,"10.1099_mgen.0.001170.pdf"
"39",NA,NA,"decrease","increase","decrease","10.1111_1755-0998.13167.pdf"
"40","increase",NA,"no change","no change","increase","10.1111_cobi.13889.pdf"
"41",NA,"decreased",NA,NA,NA,"10.1111_eva.12594.pdf"
"42","decrease",NA,NA,"increase",NA,"10.1111_eva.13656.pdf"
"43","decrease","decreased",NA,"decrease","increase","10.1111_gcb.17126.pdf"
"44",NA,"no change",NA,NA,NA,"10.1111_jeb.14152.pdf"
"45",NA,NA,NA,"no change",NA,"10.1111_mec.12260.pdf"
"46","increase",NA,NA,NA,NA,"10.1111_mec.15085.pdf"
"47","stable",NA,NA,NA,NA,"10.1111_mec.15579.pdf"
"48",NA,"no change",NA,"no change","no change","10.1111_mec.16111.pdf"
"49",NA,"decreased",NA,NA,NA,"10.1111_mec.16451.pdf"
"50",NA,NA,"increase",NA,NA,"10.1111_mec.16760.pdf"
"51",NA,NA,NA,NA,"increase","10.1111_mec.16933.pdf"
"52","decrease","no change",NA,"increase","decrease","10.1111_mec.17274.pdf"
"53",NA,"varies",NA,NA,NA,"10.1126_sciadv.aax0530.pdf"
"54","increase",NA,NA,NA,NA,"10.1128_JVI.01519-08.pdf"
"55",NA,NA,NA,"increase",NA,"10.1128_msystems.01477-21.pdf"
"56",NA,NA,"increase","no change","increase","10.1186_s12711-024-00900-y.pdf"
"57",NA,NA,NA,"decrease","increase","10.1186_s12862-022-02083-w.pdf"
"58","stable","decreased","increase","varies",NA,"10.1371_journal.pbio.3002333.pdf"
"59","increase",NA,NA,NA,NA,"10.1371_journal.ppat.1008298.pdf"
"60",NA,"increased",NA,NA,NA,"10.1371_journal.ppat.1009744.pdf"
